,h,A
844,62.114176611584654,60.27369306924755
845,62.29295913070217,60.1986549800475
846,62.4717416498197,60.12162932462075
847,62.65052416893722,60.042574949534774
848,62.829306688054736,59.96144945465489
849,63.00808920717226,59.87820914499408
850,63.18687172628978,59.79280898024453
851,63.365654245407306,59.70520252185638
852,63.544436764524825,59.61534187751937
853,63.72321928364235,59.52317764289364
854,63.90200180275987,59.428658840424546
855,64.08078432187739,59.331732855065184
856,64.25956684099492,59.232345366717205
857,64.43834936011244,59.13044027918719
858,64.61713187922996,59.02595964544066
859,64.79591439834748,58.918843588919714
860,64.974696917465,58.809030220673094
861,65.15347943658253,58.696455552027786
862,65.33226195570005,58.58105340251106
863,65.51104447481757,58.462755302709056
864,65.68982699393509,58.34149039172312
865,65.86860951305262,58.217185308858646
866,66.04739203217014,58.089764079151344
867,66.22617455128766,57.959147992303905
868,66.40495707040517,57.825255474570696
869,66.5837395895227,57.68800195308936
870,66.76252210864023,57.54729971211609
871,66.94130462775775,57.40305774057437
872,67.12008714687526,57.255181570275646
873,67.29886966599278,57.10357310411442
874,67.47765218511032,56.94813043347679
875,67.65643470422783,56.78874764403383
876,67.83521722334535,56.62531460901376
877,68.01399974246287,56.45771676896329
878,68.19278226158039,56.28583489691422
879,68.37156478069792,56.10954484776757
880,68.55034729981544,55.92871729059142
881,68.72912981893296,55.74321742239949
882,68.90791233805048,55.55290466183362
883,69.08669485716801,55.35763232101112
884,69.26547737628553,55.15724725361855
885,69.44425989540305,54.951589477129154
886,69.62304241452057,54.7404917667945
887,69.80182493363809,54.52377921880292
888,69.98060745275562,54.301268779707364
889,70.15938997187314,54.07276873889802
890,70.33817249099066,53.83807818052131
891,70.51695501010818,53.59698639082573
892,70.69573752922571,53.34927221643263
893,70.87452004834323,53.09470336848076
894,71.05330256746075,52.83303566696423
